Transaction_Amount,Transaction_Time,Sender_Age,Receiver_New_Account,Location_Risk_Score,Device_Change,Transaction_Frequency,Fraud
11324412.01192711,8.0,40.0,1,1,0,12.0,0
18322848.49591471,13.0,47.0,1,1,0,11.0,0
26522458.577578887,8.0,34.0,1,1,0,10.0,0
24603345.74075331,8.0,45.0,1,1,0,14.0,0
25337994.027580444,15.0,36.0,1,1,0,10.0,0
29098075.833822925,14.0,50.0,1,0,0,6.0,0
25729465.73072811,11.0,59.0,0,1,1,12.0,0
30803256.13822301,14.0,52.0,0,0,0,18.0,0
21133122.740113206,8.0,40.0,1,0,0,14.0,0
23958468.610755816,17.0,48.0,1,1,0,6.0,0
25744706.000625435,20.0,65.0,0,1,1,16.0,0
27187148.67950052,11.0,34.0,1,1,0,11.0,0
22573921.615398224,11.0,42.0,1,1,0,10.0,0
21362643.870117128,13.0,37.0,1,0,0,10.0,0
29139272.712019414,7.0,38.0,0,1,1,15.0,1
26177251.56515626,13.0,56.0,0,1,0,12.0,0
32998565.36124842,14.0,48.0,1,1,0,12.0,0
23757134.965430416,19.0,36.0,1,1,1,12.0,0
25835765.00039861,15.0,46.0,1,1,0,7.0,0
24054579.921442647,9.0,38.0,1,1,0,12.0,0
26922616.78557508,11.0,41.0,1,0,0,12.0,0
39785881.800647765,14.0,34.0,1,1,0,6.0,0
6872947.864697669,13.0,60.0,0,1,0,15.0,0
30614453.929588147,12.0,44.0,1,1,0,11.0,0
19407682.571879864,13.0,60.0,0,1,1,16.0,0
30186642.336198445,9.0,65.0,0,1,0,14.0,0
30289748.75104215,12.0,35.0,1,1,0,8.0,0
35718262.845037386,8.0,62.0,0,1,1,15.0,1
18014226.79945071,14.0,43.0,1,1,0,8.0,0
23899433.56387444,13.0,38.0,1,0,0,12.0,1
32416326.948552087,13.0,45.0,1,1,0,8.0,0
35037225.562312685,10.0,38.0,1,1,0,8.0,0
28656135.71623201,16.0,53.0,1,0,0,7.0,1
24228728.79833574,11.0,47.0,1,0,0,13.0,0
27756568.63587383,17.0,53.0,0,0,0,18.0,1
27477699.825091913,9.0,54.0,1,0,0,14.0,0
36681159.66551454,10.0,67.0,0,1,0,17.0,0
21613127.211997524,17.0,58.0,1,0,0,6.0,0
21189268.30828198,9.0,47.0,1,0,0,15.0,0
29142533.86300856,11.0,45.0,1,1,0,6.0,0
18684308.12666129,8.0,38.0,1,1,0,11.0,0
40265464.3741791,14.0,45.0,1,1,0,13.0,0
38518658.11229427,10.0,51.0,1,0,0,13.0,0
29093447.94892682,5.0,45.0,1,1,0,3.0,1
31117881.832096986,19.0,51.0,1,0,0,5.0,0
22221654.9366264,12.0,48.0,0,0,0,17.0,1
36364150.966107324,15.0,59.0,1,0,0,10.0,0
18157142.407685176,9.0,56.0,0,1,0,14.0,0
13204967.432254571,12.0,36.0,1,1,0,9.0,0
9720614.240879705,18.0,49.0,0,0,1,17.0,0
27962315.431537382,17.0,54.0,0,1,1,13.0,0
30330217.093575086,7.0,38.0,1,1,0,12.0,0
31996007.31147945,17.0,56.0,0,1,0,17.0,0
22602368.002976656,17.0,41.0,1,1,0,6.0,0
34145777.063249096,13.0,57.0,0,1,1,11.0,0
15791598.829452772,16.0,53.0,1,1,0,6.0,0
26766957.620333858,14.0,48.0,0,0,0,15.0,1
23671951.10548399,14.0,45.0,1,0,0,15.0,1
31436655.027634405,8.0,46.0,1,0,0,14.0,0
28368320.553334475,11.0,51.0,0,1,0,14.0,0
34310758.87192015,5.0,57.0,0,1,1,16.0,1
24370252.9196396,13.0,46.0,1,0,0,6.0,0
15040522.210027417,13.0,51.0,1,1,0,8.0,0
37637615.98986639,13.0,70.0,0,1,1,15.0,0
18543047.55053848,16.0,48.0,0,1,0,13.0,1
23825275.22839185,12.0,42.0,1,1,0,10.0,0
30218876.29697026,10.0,35.0,1,1,0,14.0,0
34768125.3713054,15.0,53.0,0,1,0,15.0,1
33457453.004006132,12.0,55.0,0,0,0,14.0,0
28037940.54052199,9.0,32.0,1,1,1,15.0,0
28022014.58786188,13.0,46.0,1,1,0,9.0,0
31019649.17529414,15.0,42.0,1,1,0,12.0,0
36109788.64530267,12.0,55.0,0,0,0,14.0,0
32635242.845047858,13.0,40.0,1,0,0,14.0,1
31222092.695291776,13.0,56.0,0,1,0,15.0,0
21073399.798061434,10.0,44.0,0,1,0,15.0,0
30412021.134197406,9.0,49.0,1,0,0,9.0,0
32761777.36559918,8.0,40.0,1,1,0,12.0,0
31242708.82724666,14.0,38.0,1,1,0,7.0,0
25538475.774141457,7.0,42.0,1,1,0,14.0,0
21100697.234842256,16.0,45.0,1,0,0,8.0,0
35477569.809458464,15.0,62.0,0,0,1,13.0,0
31827939.800520603,14.0,58.0,0,1,1,15.0,0
29653220.150810856,11.0,57.0,0,1,0,16.0,0
36447418.34652387,11.0,36.0,1,1,0,7.0,0
24260965.38280353,12.0,49.0,0,1,1,13.0,1
31443819.979519818,14.0,42.0,1,1,0,13.0,0
33164143.200885467,12.0,48.0,1,0,0,8.0,0
21897223.680137664,12.0,57.0,0,0,1,13.0,0
26901822.27909419,12.0,45.0,1,1,0,13.0,0
42280670.385835804,10.0,49.0,0,1,0,13.0,0
27666884.628408723,11.0,42.0,1,1,0,11.0,0
32207165.75878888,11.0,59.0,0,1,0,18.0,0
40302604.27406323,13.0,56.0,0,0,0,16.0,0
33071573.75431496,6.0,61.0,0,1,0,17.0,0
31643626.292742338,14.0,50.0,1,1,0,12.0,0
32107320.578128602,10.0,31.0,1,1,0,7.0,0
32078312.448182918,12.0,51.0,0,1,0,13.0,0
26012898.948757518,6.0,36.0,0,1,0,17.0,0
18137303.496524133,11.0,48.0,1,0,0,9.0,0
42659609.68729153,9.0,42.0,1,1,0,13.0,0
32306021.244324364,14.0,64.0,0,1,1,13.0,0
22638004.9553479,9.0,59.0,0,1,1,18.0,1
20671354.67899673,13.0,39.0,1,1,0,5.0,0
27827253.82163391,18.0,52.0,1,0,0,4.0,0
11041631.310509915,14.0,51.0,1,0,0,11.0,0
26830956.61582571,14.0,45.0,0,1,1,17.0,0
35434716.520512775,15.0,53.0,0,1,1,12.0,0
18564380.995653518,16.0,41.0,1,1,0,13.0,0
33844510.82089995,13.0,46.0,0,1,0,13.0,0
41215362.76608656,17.0,52.0,1,0,0,10.0,0
36456504.09283361,15.0,49.0,0,0,1,14.0,0
32646781.05310776,10.0,50.0,1,1,0,9.0,0
28074207.995827604,10.0,40.0,1,1,0,11.0,0
26079802.889878653,17.0,47.0,0,1,0,13.0,0
32903042.60962211,10.0,66.0,0,0,0,16.0,0
32027815.015276767,13.0,50.0,0,1,0,15.0,0
21410200.283500914,14.0,56.0,0,1,0,13.0,0
25266343.289387856,9.0,39.0,1,1,0,11.0,0
23587250.576574557,12.0,50.0,1,0,0,12.0,0
24047925.687919,7.0,50.0,1,1,0,12.0,0
24309197.130698565,11.0,47.0,1,1,0,12.0,0
36869950.2899075,9.0,33.0,1,1,0,9.0,0
31017291.66948563,10.0,57.0,0,0,0,15.0,0
31823082.94282794,11.0,55.0,0,0,0,14.0,0
16704252.087931711,19.0,60.0,0,0,0,17.0,1
28185321.683919106,17.0,43.0,0,1,0,17.0,0
22168923.20401017,13.0,66.0,0,0,1,13.0,0
30752370.38121255,13.0,47.0,1,1,0,11.0,0
23551167.701243035,8.0,58.0,0,0,0,14.0,0
21043175.58328349,13.0,41.0,1,1,1,10.0,0
17903562.74833034,8.0,38.0,1,1,0,13.0,0
20648758.46201386,10.0,49.0,1,1,0,12.0,0
24006938.078979533,3.0,36.0,1,1,1,12.0,1
27257866.96697952,10.0,38.0,1,1,0,10.0,0
7405856.417344901,13.0,48.0,1,0,0,11.0,1
24783507.91768233,18.0,52.0,1,0,0,5.0,0
39116292.60954495,14.0,51.0,0,1,1,13.0,0
27117999.766117394,16.0,48.0,0,1,0,14.0,0
16244281.874612238,15.0,56.0,1,0,0,6.0,0
23664833.465458233,16.0,61.0,0,1,1,13.0,0
22816774.237707097,13.0,53.0,0,1,1,11.0,0
25931071.0314394,12.0,44.0,1,0,0,15.0,1
24789367.40120519,6.0,37.0,1,0,1,10.0,1
31522565.835253563,16.0,54.0,1,0,0,6.0,0
19515235.159104098,14.0,43.0,1,1,1,9.0,0
27702090.136932526,11.0,44.0,1,0,0,13.0,0
33900482.77096646,15.0,69.0,0,1,1,16.0,0
29592808.538077153,19.0,58.0,1,0,0,4.0,0
20343052.066823453,11.0,46.0,1,1,0,8.0,0
28141100.753862556,10.0,42.0,1,1,0,13.0,0
33066621.150889747,12.0,48.0,1,0,0,10.0,0
25202008.233413395,11.0,56.0,0,1,1,11.0,0
39804024.17381789,14.0,59.0,0,1,0,15.0,0
22929196.34090312,19.0,47.0,0,0,0,15.0,0
31912738.28437039,16.0,59.0,0,1,1,12.0,0
28172832.9071837,17.0,56.0,1,0,0,9.0,0
23548832.55505225,10.0,39.0,1,1,0,7.0,0
37065028.11149677,6.0,42.0,0,0,1,17.0,1
39050983.825844765,15.0,34.0,1,1,1,7.0,1
32198878.857481375,14.0,61.0,0,1,1,14.0,0
23181323.211918063,16.0,49.0,0,0,0,13.0,0
26450613.372060824,10.0,36.0,1,1,0,10.0,0
33371593.569991343,9.0,65.0,0,0,0,18.0,0
31834250.487405755,9.0,61.0,0,1,1,15.0,1
27051612.378993962,19.0,53.0,0,0,1,19.0,0
30077507.345998317,12.0,62.0,0,0,0,14.0,0
18508792.28221168,17.0,41.0,1,1,1,9.0,0
35625112.478360064,15.0,49.0,0,0,1,16.0,1
20256944.094001144,12.0,34.0,1,1,0,8.0,0
14659022.964058217,17.0,64.0,0,1,1,16.0,0
37818687.60885429,12.0,40.0,1,1,0,11.0,0
19975675.47949456,14.0,41.0,1,1,0,18.0,0
26465708.405074023,15.0,55.0,0,1,1,14.0,0
22543828.289858468,9.0,54.0,0,1,1,13.0,1
19412173.166037455,8.0,51.0,0,1,1,11.0,1
28345201.299537133,18.0,51.0,0,0,1,17.0,0
33847670.92932364,13.0,54.0,0,1,0,15.0,0
26673240.299522657,16.0,51.0,1,0,0,8.0,0
16402632.126566084,17.0,57.0,1,0,0,5.0,0
27707562.268261418,13.0,54.0,0,1,0,13.0,0
34255008.78331011,14.0,56.0,0,0,0,20.0,0
31827980.631778754,8.0,61.0,0,0,0,15.0,0
26863158.749963548,14.0,35.0,1,1,0,7.0,0
29604769.959025975,13.0,44.0,1,1,0,7.0,0
23438973.807033114,13.0,48.0,1,0,0,10.0,0
30166377.17602281,8.0,52.0,1,0,0,13.0,0
24399568.52612544,12.0,41.0,1,0,0,8.0,0
24623515.788779207,13.0,63.0,0,1,0,15.0,0
10745869.91645932,12.0,43.0,1,1,0,11.0,0
24792165.645506114,13.0,42.0,1,1,0,10.0,0
29981951.625209857,14.0,44.0,1,0,0,15.0,1
25318101.375778716,17.0,37.0,0,1,1,14.0,0
35015399.1151491,14.0,48.0,1,0,0,7.0,0
28283040.044011503,14.0,41.0,1,0,0,15.0,1
23796273.850030173,11.0,63.0,0,1,1,21.0,1
34104057.13283992,12.0,40.0,1,1,0,7.0,0
19859769.841394104,14.0,47.0,1,0,0,16.0,0
20097341.383704945,14.0,51.0,1,0,0,10.0,0
24828880.74083206,15.0,45.0,0,1,0,16.0,0
24767237.382362124,13.0,57.0,0,1,0,18.0,0
43356725.41825892,14.0,46.0,0,1,1,12.0,0
30886587.996073563,11.0,32.0,1,1,1,17.0,0
37372086.7277324,12.0,50.0,1,0,0,8.0,0
32420273.759349503,14.0,47.0,1,1,0,7.0,0
25119469.70178388,15.0,49.0,0,0,0,14.0,0
33041770.137507435,15.0,46.0,0,1,0,15.0,0
23703758.23188907,11.0,46.0,1,0,0,10.0,0
19118522.909094077,16.0,41.0,1,1,0,13.0,0
38151864.1784086,18.0,42.0,1,1,0,6.0,0
27629330.97622499,9.0,37.0,1,0,0,16.0,1
26515531.77240958,10.0,45.0,1,1,0,9.0,0
34781024.0322011,9.0,50.0,1,0,0,13.0,0
11472372.448189043,12.0,50.0,0,1,0,17.0,0
28578283.321800023,14.0,54.0,1,0,0,7.0,0
18955623.068802293,13.0,47.0,0,0,0,15.0,1
24267415.3339096,14.0,47.0,1,0,0,7.0,0
26905733.7046175,10.0,35.0,1,1,0,6.0,0
20766020.398202293,19.0,51.0,0,0,1,16.0,0
24696320.94121419,15.0,55.0,1,0,0,10.0,0
18789038.392759643,11.0,43.0,1,0,0,10.0,0
24992712.902124003,16.0,56.0,1,0,0,7.0,0
17631286.393197536,7.0,52.0,1,1,0,13.0,0
33478412.125676136,17.0,46.0,1,1,0,8.0,0
25110855.8294716,12.0,52.0,0,1,0,19.0,0
30963141.185885813,11.0,45.0,1,1,0,8.0,0
26697661.97053322,12.0,45.0,1,0,0,17.0,0
20345325.53891976,16.0,42.0,1,1,0,17.0,0
22224574.978797946,19.0,49.0,0,1,1,12.0,0
27462105.05190049,16.0,46.0,1,0,0,8.0,0
27549892.255071186,16.0,44.0,1,1,1,11.0,1
29221366.504064463,12.0,42.0,1,1,1,13.0,0
25539044.125226058,6.0,30.0,1,1,0,12.0,0
24556132.887377035,12.0,49.0,1,1,0,12.0,0
21381321.337339394,8.0,45.0,1,0,0,14.0,0
25329649.661987662,8.0,50.0,0,1,1,13.0,1
22997173.022871904,4.0,66.0,0,0,0,14.0,0
25496011.248962663,16.0,44.0,0,1,0,14.0,0
19042773.59184603,5.0,33.0,1,1,0,13.0,0
39490144.41142443,15.0,43.0,1,1,0,16.0,0
25152502.18666506,10.0,50.0,1,0,0,11.0,0
18620185.4617439,12.0,56.0,0,1,0,16.0,0
14091360.191881692,17.0,44.0,1,1,0,4.0,0
28434161.601307727,18.0,60.0,0,0,0,9.0,0
32315151.849900126,15.0,48.0,0,1,0,16.0,0
35674454.960244715,9.0,51.0,0,1,1,13.0,1
38597059.98689387,12.0,41.0,1,1,0,4.0,0
15567539.715161912,11.0,43.0,1,1,0,9.0,0
30314847.140972946,12.0,46.0,1,1,0,7.0,0
36662911.18070696,14.0,60.0,0,1,1,14.0,0
32381649.3454997,17.0,52.0,0,1,1,16.0,0
27436196.898218375,12.0,49.0,0,0,1,13.0,0
36131653.66589124,8.0,59.0,0,0,0,15.0,0
34325878.47975708,11.0,65.0,0,1,0,16.0,0
28084379.490007143,13.0,52.0,0,1,0,17.0,0
30037110.52056321,9.0,50.0,1,0,0,18.0,0
39024896.64548172,7.0,46.0,1,0,0,13.0,0
32534933.065816056,9.0,55.0,0,1,0,17.0,0
25631723.061007235,14.0,44.0,1,1,1,13.0,1
25040157.804652054,18.0,43.0,1,1,0,15.0,0
24441476.74170646,15.0,43.0,1,1,0,5.0,0
28635596.18313356,14.0,43.0,1,1,0,7.0,0
32278907.439202994,13.0,54.0,1,0,0,10.0,0
31942311.268432796,9.0,30.0,1,1,1,13.0,0
22983919.728140797,10.0,32.0,1,1,0,12.0,0
24764784.032448128,12.0,40.0,1,1,0,11.0,0
28370922.64648171,13.0,61.0,0,1,0,14.0,0
21033617.551472675,13.0,48.0,1,1,0,12.0,0
30518548.427913085,13.0,47.0,1,0,0,11.0,0
33756127.70909289,16.0,57.0,0,1,1,17.0,0
36800419.904767156,13.0,46.0,0,1,1,11.0,0
35038264.8822076,13.0,39.0,1,0,0,11.0,1
22816242.65047518,7.0,58.0,0,1,0,17.0,0
28667656.713141154,11.0,55.0,0,1,0,16.0,0
25135731.905004848,12.0,51.0,1,0,0,12.0,0
31380801.05452751,11.0,42.0,1,0,0,16.0,1
19906282.47991931,16.0,62.0,0,1,0,17.0,0
21825426.21387291,10.0,39.0,1,1,0,7.0,0
27886936.141770594,17.0,58.0,0,1,0,20.0,0
34284039.502310276,17.0,44.0,1,1,0,8.0,0
16030201.352226067,14.0,52.0,0,0,0,19.0,0
19181981.042063016,14.0,50.0,0,0,0,18.0,0
34374325.331530176,13.0,57.0,0,1,0,15.0,0
25472165.969032552,15.0,44.0,0,1,0,18.0,0
16288460.900604775,11.0,46.0,1,0,0,11.0,0
19903626.970368963,14.0,45.0,1,0,0,9.0,0
23867137.35950148,10.0,45.0,1,0,0,12.0,0
30656700.25853366,16.0,43.0,1,1,0,9.0,0
20237648.30581479,10.0,38.0,1,1,0,13.0,0
22092083.79690919,16.0,46.0,1,1,0,9.0,0
33442114.592403285,17.0,51.0,0,1,1,15.0,0
27751003.35283583,18.0,56.0,1,0,0,5.0,0
30517232.309156217,13.0,37.0,1,1,0,15.0,0
37510851.303894415,12.0,51.0,0,0,0,17.0,0
24391500.98811205,12.0,52.0,0,1,1,15.0,0
27720014.354534335,10.0,53.0,1,0,0,11.0,0
28847763.608335882,14.0,51.0,0,1,0,18.0,0
27684211.6289565,15.0,41.0,1,1,0,10.0,0
22870107.072528675,12.0,64.0,0,1,0,16.0,0
35226175.99126844,5.0,35.0,1,1,1,11.0,1
15704580.051085075,7.0,37.0,1,1,0,9.0,0
33526172.191663,11.0,52.0,1,1,0,13.0,0
26741705.74986993,15.0,36.0,1,0,0,13.0,0
27123745.30392441,10.0,50.0,0,1,0,16.0,0
22301733.230941575,12.0,44.0,1,0,0,13.0,0
25987326.926877275,12.0,43.0,1,1,0,14.0,0
31916572.774736833,13.0,48.0,1,0,0,12.0,0
35407342.13744699,8.0,39.0,1,1,0,12.0,0
30873481.359207366,11.0,41.0,1,1,0,10.0,0
22727972.465738006,17.0,46.0,1,1,0,13.0,1
19954417.665390514,7.0,27.0,1,0,0,11.0,1
23251912.667531062,13.0,60.0,0,0,0,16.0,0
18163648.806374848,12.0,55.0,0,1,1,14.0,0
25491631.390517257,12.0,39.0,1,1,0,11.0,0
29690880.253813524,12.0,37.0,1,1,0,13.0,0
28758840.950358506,13.0,65.0,0,1,0,17.0,1
33503978.68708355,11.0,67.0,0,1,0,18.0,0
20494537.72687948,10.0,51.0,1,0,0,9.0,0
26361605.364172302,21.0,53.0,1,0,0,4.0,0
25111821.34657956,8.0,46.0,1,0,0,11.0,0
33458794.499293253,8.0,47.0,1,0,0,14.0,0
12298071.51491214,14.0,49.0,0,0,0,17.0,1
31572089.691087585,14.0,47.0,0,1,0,14.0,0
21572117.847723633,12.0,50.0,0,1,0,14.0,0
21214240.373265047,17.0,40.0,1,1,0,19.0,0
30449355.246798005,9.0,33.0,1,1,0,9.0,0
25191556.312967505,17.0,61.0,0,0,0,19.0,1
27065197.181384973,9.0,34.0,1,1,0,15.0,0
30647751.928758316,20.0,46.0,0,1,1,7.0,1
28550992.03252385,10.0,39.0,1,1,0,15.0,0
28730828.956113584,14.0,55.0,0,1,0,14.0,0
30461705.814908408,21.0,56.0,0,0,1,18.0,0
25928774.201499507,16.0,41.0,1,0,0,14.0,0
20818259.44461005,16.0,53.0,0,1,0,17.0,0
22605717.898469627,8.0,38.0,1,1,0,10.0,0
28965305.242544346,8.0,37.0,1,0,0,12.0,0
24321631.67134038,14.0,42.0,1,0,0,14.0,1
21014806.049150605,13.0,44.0,1,1,0,12.0,0
17375113.263818786,12.0,48.0,1,0,0,14.0,0
21413688.287119385,12.0,49.0,0,1,0,14.0,0
33726044.76908372,15.0,47.0,1,0,0,8.0,0
38890282.553452745,13.0,39.0,1,1,0,9.0,0
23778485.908750683,10.0,46.0,1,0,0,13.0,0
31964667.473289456,18.0,48.0,1,1,0,9.0,0
25590189.516392596,10.0,34.0,1,1,0,10.0,0
25392034.738246612,9.0,50.0,0,1,1,11.0,0
12693463.648765923,12.0,47.0,1,1,0,16.0,0
31895961.222940873,3.0,28.0,1,1,0,13.0,0
21504098.202823304,9.0,37.0,1,1,0,12.0,0
23311903.867268924,6.0,54.0,0,1,1,17.0,1
34317642.48575198,13.0,54.0,0,1,0,16.0,0
26693842.904917445,11.0,40.0,1,1,0,8.0,0
12427363.286165461,8.0,53.0,0,1,0,14.0,0
31397461.7834078,14.0,34.0,1,1,0,7.0,0
27529933.04093216,16.0,44.0,0,1,1,14.0,0
22161214.29290353,10.0,38.0,1,0,0,14.0,1
35359214.45029402,14.0,45.0,1,1,0,12.0,0
19647188.07434309,12.0,52.0,0,1,0,12.0,0
31495838.133969776,13.0,44.0,1,1,0,7.0,0
25357808.451800644,17.0,58.0,0,1,1,14.0,0
19822413.592670515,8.0,38.0,1,1,0,12.0,0
36131059.491193265,13.0,51.0,0,1,0,13.0,0
28870918.54204601,19.0,54.0,1,0,0,2.0,0
27636655.647822395,13.0,32.0,1,1,0,8.0,0
31390713.793564882,13.0,42.0,1,1,0,10.0,0
24281549.538861457,14.0,53.0,1,0,0,11.0,0
20994142.82204373,15.0,51.0,1,0,0,5.0,0
27026101.6290873,11.0,49.0,0,1,0,14.0,0
20400621.884486686,9.0,33.0,1,1,0,7.0,0
45614628.43526936,16.0,38.0,1,1,0,13.0,0
33789147.61554569,11.0,55.0,0,1,0,13.0,0
23476819.150082525,15.0,44.0,0,1,0,18.0,0
20741530.987336904,17.0,47.0,1,0,0,4.0,0
28805453.031722307,10.0,36.0,1,1,1,11.0,0
21339564.902757335,9.0,35.0,1,1,0,12.0,0
24046251.364262354,11.0,65.0,0,1,0,17.0,0
34070465.141167454,7.0,33.0,1,1,0,17.0,0
29121528.757140692,10.0,36.0,1,1,1,14.0,0
25050492.050447278,16.0,55.0,1,0,0,10.0,0
23055704.907586105,10.0,63.0,0,1,0,16.0,0
35945968.13396057,19.0,56.0,0,1,1,16.0,0
24603468.984517243,14.0,55.0,0,1,1,14.0,0
35721282.760275476,15.0,43.0,1,1,0,5.0,0
23058347.792682625,8.0,39.0,1,1,0,10.0,0
20759226.50208523,9.0,38.0,1,1,0,10.0,0
18142680.74971234,13.0,47.0,1,1,0,11.0,0
32373706.081292264,13.0,37.0,1,1,0,14.0,0
38941850.51585295,16.0,44.0,1,1,0,16.0,0
31383787.701262623,9.0,57.0,0,1,0,14.0,0
34561263.44376903,8.0,43.0,1,1,0,11.0,0
18658377.4942056,6.0,53.0,0,0,1,18.0,1
24503167.1339664,13.0,54.0,0,1,1,14.0,0
30553537.82480418,17.0,37.0,1,1,0,16.0,0
16471023.455832914,14.0,49.0,1,0,0,10.0,0
26798971.538677506,15.0,45.0,1,1,0,9.0,0
19907018.190091237,12.0,47.0,0,1,0,14.0,0
29241924.241592243,13.0,55.0,0,1,0,15.0,0
30732329.48732454,15.0,50.0,0,1,0,16.0,0
27359953.030485753,21.0,47.0,0,1,1,15.0,0
36145536.150046915,11.0,42.0,1,1,0,12.0,0
26466878.15692428,10.0,61.0,0,1,0,14.0,0
26795945.166844606,8.0,49.0,0,1,0,13.0,0
28821217.351358622,8.0,63.0,0,0,0,19.0,0
29487187.447782107,7.0,36.0,1,0,0,18.0,1
22853759.37696185,12.0,49.0,0,1,0,13.0,0
27878170.10656412,10.0,36.0,0,1,1,14.0,0
35083429.79325788,18.0,50.0,1,0,0,9.0,0
23822008.299483746,9.0,65.0,0,0,0,15.0,0
27910632.750010107,16.0,46.0,1,1,0,14.0,0
25711565.58827626,14.0,64.0,0,1,1,17.0,0
28371628.441152405,17.0,47.0,1,0,0,16.0,0
34136577.69585929,7.0,54.0,0,1,0,14.0,0
10828281.833539238,22.0,51.0,1,0,0,0.0,0
22294673.254926346,12.0,52.0,0,0,0,14.0,0
21330642.64819981,8.0,44.0,1,1,0,14.0,0
27662154.27687799,13.0,49.0,1,1,0,9.0,0
23488707.537336655,15.0,57.0,0,1,1,15.0,0
31372738.72765532,11.0,44.0,1,1,0,10.0,0
29905946.54627333,13.0,36.0,1,1,0,8.0,0
21921672.923896812,12.0,34.0,1,1,0,9.0,0
23527772.910468712,7.0,58.0,0,1,0,11.0,0
16124602.11882753,10.0,46.0,1,1,0,10.0,0
33979850.46306622,15.0,43.0,1,0,0,15.0,0
24030193.09797133,8.0,55.0,0,0,1,16.0,1
